127.0.0.1, 2012-08-30 13:56:53, GET, /, HTTP/1.1, 303, 0.004412
127.0.0.1, 2012-08-30 13:56:55, GET, /welcome/default/index, HTTP/1.1, 200, 1.807995
127.0.0.1, 2012-08-30 13:56:55, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002084
127.0.0.1, 2012-08-30 13:56:55, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002013
127.0.0.1, 2012-08-30 13:56:55, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002004
127.0.0.1, 2012-08-30 13:56:55, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.002047
127.0.0.1, 2012-08-30 13:56:55, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.019980
127.0.0.1, 2012-08-30 13:56:55, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.030297
127.0.0.1, 2012-08-30 13:56:55, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.002017
127.0.0.1, 2012-08-30 13:56:55, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.001967
127.0.0.1, 2012-08-30 13:56:55, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.002064
127.0.0.1, 2012-08-30 13:56:55, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.002022
127.0.0.1, 2012-08-30 13:56:56, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.002045
127.0.0.1, 2012-08-30 13:56:57, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.002024
127.0.0.1, 2012-08-30 13:56:57, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.001999
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload, HTTP/1.1, 303, 0.151988
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload/default/user/login, HTTP/1.1, 200, 0.215945
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002137
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload/static/css/calendar.css, HTTP/1.1, 200, 0.001976
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload/static/js/jquery.js, HTTP/1.1, 200, 0.007222
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload/static/js/web2py.js, HTTP/1.1, 200, 0.002119
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload/static/js/calendar.js, HTTP/1.1, 200, 0.006792
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload/static/js/superfish.js, HTTP/1.1, 200, 0.008241
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload/static/fancybox/source/jquery.fancybox.js, HTTP/1.1, 200, 0.003584
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload/static/fancybox/lib/jquery.mousewheel-3.0.6.pack.js, HTTP/1.1, 200, 0.007368
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload/static/css/skeleton.css, HTTP/1.1, 200, 0.022270
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload/static/fancybox/source/helpers/jquery.fancybox-thumbs.css, HTTP/1.1, 200, 0.001996
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload/static/css/web2py.css, HTTP/1.1, 200, 0.018901
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload/static/fancybox/source/jquery.fancybox.css, HTTP/1.1, 200, 0.002026
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload/static/css/superfish.css, HTTP/1.1, 200, 0.014502
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload/static/fancybox/source/helpers/jquery.fancybox-thumbs.js, HTTP/1.1, 200, 0.008910
127.0.0.1, 2012-08-30 14:00:29, GET, /PhotoUpload/static/favicon.ico, HTTP/1.1, 200, 0.001935
127.0.0.1, 2012-08-30 14:00:30, GET, /PhotoUpload/static/images/bg.jpg, HTTP/1.1, 200, 0.002001
127.0.0.1, 2012-08-30 14:00:54, POST, /PhotoUpload/default/user/login, HTTP/1.1, 303, 0.119627
127.0.0.1, 2012-08-30 14:00:54, GET, /PhotoUpload/default/user/login, HTTP/1.1, 200, 0.105857
127.0.0.1, 2012-08-30 14:01:13, GET, /PhotoUpload/default/user/register, HTTP/1.1, 200, 0.126910
127.0.0.1, 2012-08-30 14:01:38, POST, /PhotoUpload/default/user/register, HTTP/1.1, 303, 0.348709
127.0.0.1, 2012-08-30 14:01:38, GET, /PhotoUpload/default/index, HTTP/1.1, 200, 0.114730
